particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
DP Charges for 11/05/2018,2018-05-11,NSE-EQ - Z,Journal Entry,15.93,0,47.205329
Settlement value for May 14 -  2018 in NSE with settlement number 2018090,2018-05-14,NSE-EQ - Z,Book Voucher,0,5611.623849,5658.829178
DP Charges for 14/05/2018,2018-05-14,NSE-EQ - Z,Journal Entry,15.93,0,5642.899178
Settlement value for May 15 -  2018 in NSE with settlement number 2018091,2018-05-15,NSE-EQ - Z,Book Voucher,304.597137,0,5338.302041
DP Charges for 15/05/2018,2018-05-15,NSE-EQ - Z,Journal Entry,15.93,0,5322.372041
DP Charges for 15/05/2018,2018-05-15,NSE-EQ - Z,Journal Entry,15.93,0,5306.442041
Settlement value for May 16 -  2018 in NSE with settlement number 2018092,2018-05-16,NSE-EQ - Z,Book Voucher,301.633177,0,5004.808864
Settlement value for May 17 -  2018 in NSE with settlement number 2018093,2018-05-17,NSE-EQ - Z,Book Voucher,866.498212,0,4138.310652
Settlement value for May 18 -  2018 in NSE with settlement number 2018094,2018-05-18,NSE-EQ - Z,Book Voucher,506.062226,0,3632.248426
Settlement value for May 21 -  2018 in BSE with settlement number 1819037,2018-05-21,BSE-EQ - Z,Book Voucher,28.324356,0,3603.92407
Settlement value for May 21 -  2018 in NSE with settlement number 2018095,2018-05-21,NSE-EQ - Z,Book Voucher,3150.478747,0,453.445323
Settlement value for May 23 -  2018 in NSE with settlement number 2018097,2018-05-23,NSE-EQ - Z,Book Voucher,378.049544,0,75.395779
Being amount received fromX-IGADQBEMB3 through NEST Payment Gateway,2018-05-31,NSE-EQ - Z,Bank Receipts,0,2000,2075.395779
Being payment gateway charges debited forX,2018-05-31,NSE-EQ - Z,Journal Entry,10.62,0,2064.775779
Settlement value for May 31 -  2018 in NSE with settlement number 2018103,2018-05-31,NSE-EQ - Z,Book Voucher,1887.826708,0,176.949071
DP Charges for 01/06/2018,2018-06-01,NSE-EQ - Z,Journal Entry,15.93,0,161.019071
Settlement value for June 15 -  2018 in NSE with settlement number 2018114,2018-06-15,NSE-EQ - Z,Book Voucher,29.440652,0,131.578419
DP Charges for 18/06/2018,2018-06-18,NSE-EQ - Z,Journal Entry,15.93,0,115.648419
DP Charges for 18/06/2018,2018-06-18,NSE-EQ - Z,Journal Entry,15.93,0,99.718419
Being amount received fromX-IGADTZFPW4 through NEST Payment Gateway,2018-06-21,NSE-EQ - Z,Bank Receipts,0,3000,3099.718419
Being payment gateway charges debited forX,2018-06-21,NSE-EQ - Z,Journal Entry,10.62,0,3089.098419
Settlement value for June 21 -  2018 in NSE with settlement number 2018118,2018-06-21,NSE-EQ - Z,Book Voucher,2853.246375,0,235.852044
Settlement value for June 22 -  2018 in NSE with settlement number 2018119,2018-06-22,NSE-EQ - Z,Book Voucher,75.619348,0,160.232696
Settlement value for June 25 -  2018 in NSE with settlement number 2018120,2018-06-25,NSE-EQ - Z,Book Voucher,9.79545,0,150.437246
DP Charges for 25/06/2018,2018-06-27,NSE-EQ - Z,Journal Entry,15.93,0,134.507246
Settlement value for June 27 -  2018 in NSE with settlement number 2018122,2018-06-27,NSE-EQ - Z,Book Voucher,78.119598,0,56.387648
Being amount received fromX-IGADVMQBG4 through NEST Payment Gateway,2018-06-28,NSE-EQ - Z,Bank Receipts,0,5000,5056.387648
Being payment gateway charges debited forX,2018-06-28,NSE-EQ - Z,Journal Entry,10.62,0,5045.767648
Settlement value for June 28 -  2018 in BSE with settlement number 1819065,2018-06-28,BSE-EQ - Z,Book Voucher,475.66108,0,4570.106568
Settlement value for June 28 -  2018 in NSE with settlement number 2018123,2018-06-28,NSE-EQ - Z,Book Voucher,1258.137316,0,3311.969252
Settlement value for June 29 -  2018 in BSE with settlement number 1819066,2018-06-29,BSE-EQ - Z,Book Voucher,1042.815924,0,2269.153328
Settlement value for June 29 -  2018 in NSE with settlement number 2018124,2018-06-29,NSE-EQ - Z,Book Voucher,2060.513043,0,208.640285
Being amount received fromX-IGADWMCIF1 through NEST Payment Gateway,2018-07-02,NSE-EQ - Z,Bank Receipts,0,5000,5208.640285
Being payment gateway charges debited forX,2018-07-02,NSE-EQ - Z,Journal Entry,10.62,0,5198.020285
Settlement value for July 02 -  2018 in NSE with settlement number 2018125,2018-07-02,NSE-EQ - Z,Book Voucher,4927.753301,0,270.266984
Settlement value for July 03 -  2018 in NSE with settlement number 2018126,2018-07-03,NSE-EQ - Z,Book Voucher,113.523133,0,156.743851
Settlement value for July 17 -  2018 in NSE with settlement number 2018136,2018-07-17,NSE-EQ - Z,Book Voucher,96.071391,0,60.67246
Settlement value for July 19 -  2018 in NSE with settlement number 2018138,2018-07-19,NSE-EQ - Z,Book Voucher,0,7.468016,68.140476
Settlement value for July 20 -  2018 in NSE with settlement number 2018139,2018-07-20,NSE-EQ - Z,Book Voucher,17.663562,0,50.476914
DP Charges for 19/07/2018,2018-07-23,NSE-EQ - Z,Journal Entry,15.93,0,34.546914
Settlement value for July 24 -  2018 in NSE with settlement number 2018141,2018-07-24,NSE-EQ - Z,Book Voucher,0,153.02602,187.572934
Settlement value for July 25 -  2018 in NSE with settlement number 2018142,2018-07-25,NSE-EQ - Z,Book Voucher,14.135876,0,173.437058
DP Charges for 24/07/2018,2018-07-26,NSE-EQ - Z,Journal Entry,15.93,0,157.507058
DP Charges for 25/07/2018,2018-07-27,NSE-EQ - Z,Journal Entry,15.93,0,141.577058
Settlement value for July 27 -  2018 in NSE with settlement number 2018144,2018-07-27,NSE-EQ - Z,Book Voucher,0,235.764654,377.341712
DP Charges for 27/07/2018,2018-07-31,NSE-EQ - Z,Journal Entry,15.93,0,361.411712
Settlement value for July 31 -  2018 in BSE with settlement number 1819088,2018-07-31,BSE-EQ - Z,Book Voucher,198.331015,0,163.080697
Settlement value for August 01 -  2018 in NSE with settlement number 2018147,2018-08-01,NSE-EQ - Z,Book Voucher,0,2488.539487,2651.620184
DP Charges for 01/08/2018,2018-08-03,NSE-EQ - Z,Journal Entry,15.93,0,2635.690184
DP Charges for 01/08/2018,2018-08-03,NSE-EQ - Z,Journal Entry,15.93,0,2619.760184
DP Charges for 01/08/2018,2018-08-03,NSE-EQ - Z,Journal Entry,15.93,0,2603.830184
Settlement value for August 03 -  2018 in NSE with settlement number 2018149,2018-08-03,NSE-EQ - Z,Book Voucher,0,3141.674161,5745.504345
Settlement value for August 06 -  2018 in NSE with settlement number 2018150,2018-08-06,NSE-EQ - Z,Book Voucher,1806.992014,0,3938.512331
DP Charges for 03/08/2018,2018-08-07,NSE-EQ - Z,Journal Entry,15.93,0,3922.582331
Settlement value for August 07 -  2018 in BSE with settlement number 1819093,2018-08-07,BSE-EQ - Z,Book Voucher,190.030211,0,3732.55212
Settlement value for August 10 -  2018 in NSE with settlement number 2018154,2018-08-10,NSE-EQ - Z,Book Voucher,1352.196706,0,2380.355414
Settlement value for August 14 -  2018 in BSE with settlement number 1819098,2018-08-14,BSE-EQ - Z,Book Voucher,267.337703,0,2113.017711
Settlement value for August 14 -  2018 in NSE with settlement number 2018156,2018-08-14,NSE-EQ - Z,Book Voucher,1483.859852,0,629.157859
Settlement value for August 16 -  2018 in NSE with settlement number 2018157,2018-08-16,NSE-EQ - Z,Book Voucher,594.521057,0,34.636802
Settlement value for August 27 -  2018 in BSE with settlement number 1819105,2018-08-27,BSE-EQ - Z,Book Voucher,82.719814,0,-48.083012
Settlement value for August 27 -  2018 in NSE with settlement number 2018163,2018-08-27,NSE-EQ - Z,Book Voucher,0,78.090961,30.007949
DP Charges for 27/08/2018,2018-08-29,NSE-EQ - Z,Journal Entry,15.93,0,14.077949
Being amount received fromX-IGAEHFNBH3 through NEST Payment Gateway,2018-09-05,NSE-EQ - Z,Bank Receipts,0,5000,5014.077949
Being amount received fromX-IGAEHHRZI6 through NEST Payment Gateway,2018-09-05,NSE-EQ - Z,Bank Receipts,0,5000,10014.077949
Being payment gateway charges debited forX,2018-09-05,NSE-EQ - Z,Journal Entry,10.62,0,10003.457949
Being payment gateway charges debited forX,2018-09-05,NSE-EQ - Z,Journal Entry,10.62,0,9992.837949
Settlement value for September 05 -  2018 in BSE with settlement number 1819112,2018-09-05,BSE-EQ - Z,Book Voucher,383.598967,0,9609.238982
Settlement value for September 05 -  2018 in NSE with settlement number 2018170,2018-09-05,NSE-EQ - Z,Book Voucher,7188.028775,0,2421.210207
Settlement value for September 06 -  2018 in NSE with settlement number 2018171,2018-09-06,NSE-EQ - Z,Book Voucher,886.60022,0,1534.609987
Settlement value for September 07 -  2018 in NSE with settlement number 2018172,2018-09-07,NSE-EQ - Z,Book Voucher,1035.631126,0,498.978861
Settlement value for September 10 -  2018 in NSE with settlement number 2018173,2018-09-10,NSE-EQ - Z,Book Voucher,302.441995,0,196.536866
Settlement value for September 11 -  2018 in NSE with settlement number 2018174,2018-09-11,NSE-EQ - Z,Book Voucher,10098.488236,0,-9901.95137
Being amount received fromX-IGAEIKDTE2 through NEST Payment Gateway,2018-09-11,NSE-EQ - Z,Bank Receipts,0,10000,98.04863
Being payment gateway charges debited forX,2018-09-11,NSE-EQ - Z,Journal Entry,10.62,0,87.42863
Settlement value for September 12 -  2018 in NSE with settlement number 2018175,2018-09-12,NSE-EQ - Z,Book Voucher,56.667457,0,30.761173
Net settlement  for  NSE-Equity with settlement number: 2018181,2018-09-24,NSE-EQ - Z,Book Voucher,11853.14402,0,-11822.382847
Funds added using payment gateway fromX with reference number IGAEKPUFX7,2018-09-24,NSE-EQ - Z,Bank Receipts,0,12000,177.617153
Being payment gateway charges debited forX,2018-09-24,NSE-EQ - Z,Journal Entry,10.62,0,166.997153
Net settlement  for  NSE-Equity with settlement number: 2018182,2018-09-25,NSE-EQ - Z,Book Voucher,6428.048895,0,-6261.051742
Funds added using payment gateway fromX with reference number IGAEKUERX5,2018-09-25,NSE-EQ - Z,Bank Receipts,0,10000,3738.948258
Being payment gateway charges debited forX,2018-09-25,NSE-EQ - Z,Journal Entry,10.62,0,3728.328258
Net settlement  for  NSE-Equity with settlement number: 2018183,2018-09-26,NSE-EQ - Z,Book Voucher,2358.447067,0,1369.881191
Net settlement  for  NSE-Equity with settlement number: 2018184,2018-09-27,NSE-EQ - Z,Book Voucher,1240.261421,0,129.61977
Net settlement  for  NSE-Equity with settlement number: 2018185,2018-09-28,NSE-EQ - Z,Book Voucher,66.01839,0,63.60138
Net settlement  for  NSE-Equity with settlement number: 2018186,2018-10-01,NSE-EQ - Z,Book Voucher,0,2.994401,66.595781
Funds added using payment gateway fromX with reference number IGAEMFXEG3,2018-10-03,NSE-EQ - Z,Bank Receipts,0,5000,5066.595781
Being payment gateway charges debited forX,2018-10-03,NSE-EQ - Z,Journal Entry,10.62,0,5055.975781
Net settlement  for  NSE-Equity with settlement number: 2018187,2018-10-03,NSE-EQ - Z,Book Voucher,3264.837461,0,1791.13832
Net settlement  for  NSE-Equity with settlement number: 2018188,2018-10-04,NSE-EQ - Z,Book Voucher,410.752808,0,1380.385512
DP Charges for 01/10/2018,2018-10-04,NSE-EQ - Z,Journal Entry,15.93,0,1364.455512
Net settlement  for  NSE-Equity with settlement number: 2018190,2018-10-08,NSE-EQ - Z,Book Voucher,1279.989493,0,84.466019
Net settlement  for  NSE-Equity with settlement number: 2018193,2018-10-11,NSE-EQ - Z,Book Voucher,13987.25689,0,-13902.790871
Funds added using payment gateway fromX with reference number IGAENXMKH6,2018-10-11,NSE-EQ - Z,Bank Receipts,0,14000,97.209129
Being payment gateway charges debited forX,2018-10-11,NSE-EQ - Z,Journal Entry,10.62,0,86.589129
Net settlement  for  NSE-Equity with settlement number: 2018200,2018-10-23,NSE-EQ - Z,Book Voucher,0,71.337287,157.926416
DP Charges for 23/10/2018,2018-10-25,NSE-EQ - Z,Journal Entry,31.86,0,126.066416
DP Charges for 23/10/2018,2018-10-25,NSE-EQ - Z,Journal Entry,15.93,0,110.136416
Net settlement  for  NSE-Equity with settlement number: 2018202,2018-10-25,NSE-EQ - Z,Book Voucher,96.821465,0,13.314951
Net settlement  for  NSE-Equity with settlement number: 2018207,2018-11-01,NSE-EQ - Z,Book Voucher,12322.940924,0,-12309.625973
Funds added using payment gateway fromX with reference number IGAERISEB2,2018-11-01,NSE-EQ - Z,Bank Receipts,0,30000,17690.374027
Being payment gateway charges debited forX,2018-11-01,NSE-EQ - Z,Journal Entry,10.62,0,17679.754027
Net settlement  for  NSE-Equity with settlement number: 2018208,2018-11-02,NSE-EQ - Z,Book Voucher,9834.592687,0,7845.16134
Net settlement  for  NSE-Equity with settlement number: 2018211,2018-11-07,NSE-EQ - Z,Book Voucher,1193.130821,0,6652.030519
Being brokerage reversed for muhurat trading,2018-11-07,NSE-EQ - Z,Journal Entry,0,0.01,6652.040519
Net settlement  for  NSE-Equity with settlement number: 2018212,2018-11-09,NSE-EQ - Z,Book Voucher,2274.788714,0,4377.251805
Net settlement  for  NSE-Equity with settlement number: 2018214,2018-11-13,NSE-EQ - Z,Book Voucher,3962.407007,0,414.844798
Net settlement  for  NSE-Equity with settlement number: 2018216,2018-11-15,NSE-EQ - Z,Book Voucher,317.743522,0,97.101276
Net settlement  for  NSE-Equity with settlement number: 2018217,2018-11-16,NSE-EQ - Z,Book Voucher,0,345.403707,442.504983
Net settlement  for  NSE-Equity with settlement number: 2018218,2018-11-19,NSE-EQ - Z,Book Voucher,159.027676,0,283.477307
Net settlement  for  NSE-Equity with settlement number: 2018219,2018-11-20,NSE-EQ - Z,Book Voucher,273.189074,0,10.288233
DP Charges for 16/11/2018,2018-11-20,NSE-EQ - Z,Journal Entry,15.93,0,-5.641767
Net settlement  for  NSE-Equity with settlement number: 2018221,2018-11-22,NSE-EQ - Z,Book Voucher,0,529.585215,523.943448
DP Charges for 22/11/2018,2018-11-27,NSE-EQ - Z,Journal Entry,15.93,0,508.013448
Net settlement  for  NSE-Equity with settlement number: 2018225,2018-11-29,NSE-EQ - Z,Book Voucher,0,3849.653373,4357.666821
Net settlement  for  NSE-Equity with settlement number: 2018226,2018-11-30,NSE-EQ - Z,Book Voucher,1261.637661,0,3096.02916
DP Charges for 29/11/2018,2018-12-03,NSE-EQ - Z,Journal Entry,15.93,0,3080.09916
DP Charges for 29/11/2018,2018-12-03,NSE-EQ - Z,Journal Entry,15.93,0,3064.16916
DP Charges for 29/11/2018,2018-12-03,NSE-EQ - Z,Journal Entry,15.93,0,3048.23916
Net settlement  for  NSE-Equity with settlement number: 2018230,2018-12-06,NSE-EQ - Z,Book Voucher,502.361855,0,2545.877305
Net settlement  for  NSE-Equity with settlement number: 2018231,2018-12-07,NSE-EQ - Z,Book Voucher,976.159159,0,1569.718146
Net settlement  for  NSE-Equity with settlement number: 2018233,2018-12-11,NSE-EQ - Z,Book Voucher,1515.725669,0,53.992477
DP Charges for 11/12/2018,2018-12-13,NSE-EQ - Z,Journal Entry,15.93,0,38.062477
Net settlement  for  NSE-Equity with settlement number: 2019004,2019-01-04,NSE-EQ - Z,Book Voucher,0,737.114491,775.176968
Net settlement  for  NSE-Equity with settlement number: 2019005,2019-01-07,NSE-EQ - Z,Book Voucher,363.048046,0,412.128922
DP Charges for 04/01/2019,2019-01-08,NSE-EQ - Z,Journal Entry,15.93,0,396.198922
Net settlement  for  NSE-Equity with settlement number: 2019007,2019-01-09,NSE-EQ - Z,Book Voucher,231.234885,0,164.964037
Net settlement  for  NSE-Equity with settlement number: 2019008,2019-01-10,NSE-EQ - Z,Book Voucher,118.523632,0,46.440405
Net settlement  for  NSE-Equity with settlement number: 2019022,2019-01-30,NSE-EQ - Z,Book Voucher,0,364.263467,410.703872
Net settlement for  BSE-Equity with settlement number: 1819211,2019-01-31,BSE-EQ - Z,Book Voucher,410.520816,0,0.183056
DP Charges for 30/01/2019,2019-02-01,NSE-EQ - Z,Journal Entry,15.93,0,-15.746944
Net settlement  for  NSE-Equity with settlement number: 2019031,2019-02-12,NSE-EQ - Z,Book Voucher,1744.644855,0,-1760.391799
Funds added using payment gateway fromX with reference number IGAFJZKCZ8,2019-02-12,NSE-EQ - Z,Bank Receipts,0,10000,8239.608201
Being payment gateway charges debited forX,2019-02-12,NSE-EQ - Z,Journal Entry,10.62,0,8228.988201
Net settlement for  BSE-Equity with settlement number: 1819220,2019-02-13,BSE-EQ - Z,Book Voucher,390.049591,0,7838.93861
Net settlement  for  NSE-Equity with settlement number: 2019032,2019-02-13,NSE-EQ - Z,Book Voucher,1031.96473,0,6806.97388
DP Charges for 12/02/2019,2019-02-14,NSE-EQ - Z,Journal Entry,15.93,0,6791.04388
Net settlement  for  NSE-Equity with settlement number: 2019033,2019-02-14,NSE-EQ - Z,Book Voucher,2654.226498,0,4136.817382
Net settlement  for  NSE-Equity with settlement number: 2019034,2019-02-15,NSE-EQ - Z,Book Voucher,1380.949573,0,2755.867809
Net settlement  for  NSE-Equity with settlement number: 2019035,2019-02-18,NSE-EQ - Z,Book Voucher,1744.435764,0,1011.432045
Net settlement  for  NSE-Equity with settlement number: 2019036,2019-02-19,NSE-EQ - Z,Book Voucher,443.106039,0,568.326006
Net settlement  for  NSE-Equity with settlement number: 2019038,2019-02-21,NSE-EQ - Z,Book Voucher,478.759598,0,89.566408
Net settlement  for  NSE-Equity with settlement number: 2019054,2019-03-18,NSE-EQ - Z,Book Voucher,0,4165.571825,4255.138233
Net settlement  for  NSE-Equity with settlement number: 2019056,2019-03-20,NSE-EQ - Z,Book Voucher,0,2942.694042,7197.832275
DP Charges for 18/03/2019,2019-03-20,NSE-EQ - Z,Journal Entry,15.93,0,7181.902275
DP Charges for 20/03/2019,2019-03-25,NSE-EQ - Z,Journal Entry,15.93,0,7165.972275
Net settlement  for  NSE-Equity with settlement number: 2019059,2019-03-26,NSE-EQ - Z,Book Voucher,0,282.920502,7448.892777
Net settlement  for  NSE-Equity with settlement number: 2019060,2019-03-27,NSE-EQ - Z,Book Voucher,105.222304,0,7343.670473
DP Charges for 26/03/2019,2019-03-28,NSE-EQ - Z,Journal Entry,15.93,0,7327.740473
Annual Maintenance Charge for Demat Account for 2018-2019,2019-03-30,NSE-EQ - Z,Journal Entry,118,0,7209.740473
Net settlement  for  NSE-Equity with settlement number: 2019066,2019-04-04,NSE-EQ - Z,Book Voucher,1154.876425,0,6054.864048
Funds added using NEFT/IMPS/RTGS fromX with reference number 909413026587,2019-04-04,NSE-EQ - Z,Bank Receipts,0,8000,14054.864048
Net settlement  for  NSE-Equity with settlement number: 2019067,2019-04-05,NSE-EQ - Z,Book Voucher,0,1542.434744,15597.298792
Net settlement  for  NSE-Equity with settlement number: 2019068,2019-04-08,NSE-EQ - Z,Book Voucher,695.230764,0,14902.068028
Net settlement  for  NSE-Equity with settlement number: 2019069,2019-04-09,NSE-EQ - Z,Book Voucher,202.231889,0,14699.836139
DP Charges for 05/04/2019,2019-04-09,NSE-EQ - Z,Journal Entry,15.93,0,14683.906139
Net settlement  for  NSE-Equity with settlement number: 2019071,2019-04-11,NSE-EQ - Z,Book Voucher,1157.471227,0,13526.434912
Net settlement for  BSE-Equity with settlement number: 1920011,2019-04-11,BSE-EQ - Z,Book Voucher,753.894971,0,12772.539941
Net settlement  for  NSE-Equity with settlement number: 2019072,2019-04-12,NSE-EQ - Z,Book Voucher,338.84546,0,12433.694481
DP Charges for 11/04/2019,2019-04-15,NSE-EQ - Z,Journal Entry,15.93,0,12417.764481
Net settlement  for  NSE-Equity with settlement number: 2019076,2019-04-22,NSE-EQ - Z,Book Voucher,0,2217.617658,14635.382139
Net settlement  for  NSE-Equity with settlement number: 2019077,2019-04-23,NSE-EQ - Z,Book Voucher,0,1750.914029,16386.296168
Net settlement  for  NSE-Equity with settlement number: 2019078,2019-04-24,NSE-EQ - Z,Book Voucher,1308.84172,0,15077.454448
Net settlement for  BSE-Equity with settlement number: 1920018,2019-04-24,BSE-EQ - Z,Book Voucher,764.558188,0,14312.89626
DP Charges for 22/04/2019,2019-04-24,NSE-EQ - Z,Journal Entry,15.93,0,14296.96626
DP Charges for 23/04/2019,2019-04-25,NSE-EQ - Z,Journal Entry,15.93,0,14281.03626
Net settlement  for  NSE-Equity with settlement number: 2019081,2019-04-30,NSE-EQ - Z,Book Voucher,1350.170774,0,12930.865486
Net settlement  for  NSE-Equity with settlement number: 2019082,2019-05-02,NSE-EQ - Z,Book Voucher,2181.428304,0,10749.437182
Net settlement for  BSE-Equity with settlement number: 1920023,2019-05-03,BSE-EQ - Z,Book Voucher,430.395245,0,10319.041937
Net settlement  for  NSE-Equity with settlement number: 2019083,2019-05-03,NSE-EQ - Z,Book Voucher,2351.245173,0,7967.796764
Net settlement  for  NSE-Equity with settlement number: 2019084,2019-05-06,NSE-EQ - Z,Book Voucher,6606.617406,0,1361.179358
Net settlement for  BSE-Equity with settlement number: 1920024,2019-05-06,BSE-EQ - Z,Book Voucher,739.376977,0,621.802381
Net settlement  for  NSE-Equity with settlement number: 2019085,2019-05-07,NSE-EQ - Z,Book Voucher,574.118733,0,47.683648
Net settlement  for  NSE-Equity with settlement number: 2019087,2019-05-09,NSE-EQ - Z,Book Voucher,9.189216,0,38.494432
Net settlement  for  NSE-Equity with settlement number: 2019088,2019-05-10,NSE-EQ - Z,Book Voucher,0,43.554184,82.048616
DP Charges for 09/05/2019,2019-05-13,NSE-EQ - Z,Journal Entry,15.93,0,66.118616
DP Charges for 09/05/2019,2019-05-13,NSE-EQ - Z,Journal Entry,31.86,0,34.258616
DP Charges for 09/05/2019,2019-05-13,NSE-EQ - Z,Journal Entry,31.86,0,2.398616
Net settlement  for  NSE-Equity with settlement number: 2019089,2019-05-13,NSE-EQ - Z,Book Voucher,45.71634,0,-43.317724
Funds added using NEFT/IMPS/RTGS fromX with reference number 913310297808,2019-05-13,NSE-EQ - Z,Bank Receipts,0,20000,19956.682276
Funds added using NEFT/IMPS/RTGS fromX with reference number 913310325453,2019-05-13,NSE-EQ - Z,Bank Receipts,0,10000,29956.682276
DP Charges for 10/05/2019,2019-05-14,NSE-EQ - Z,Journal Entry,15.93,0,29940.752276
Net settlement  for  NSE-Equity with settlement number: 2019090,2019-05-14,NSE-EQ - Z,Book Voucher,14117.0628,0,15823.689476
Net settlement  for  NSE-Equity with settlement number: 2019091,2019-05-15,NSE-EQ - Z,Book Voucher,19253.712784,0,-3430.023308
Funds added using NEFT/IMPS/RTGS fromX with reference number 913514248584,2019-05-15,NSE-EQ - Z,Bank Receipts,0,5000,1569.976692
Net settlement  for  NSE-Equity with settlement number: 2019092,2019-05-16,NSE-EQ - Z,Book Voucher,2261.936301,0,-691.959609
Net settlement for  BSE-Equity with settlement number: 1920032,2019-05-16,BSE-EQ - Z,Book Voucher,1115.092662,0,-1807.052271
Funds added using NEFT/IMPS/RTGS fromX with reference number 913614561966,2019-05-16,NSE-EQ - Z,Bank Receipts,0,5000,3192.947729
Net settlement  for  NSE-Equity with settlement number: 2019094,2019-05-20,NSE-EQ - Z,Book Voucher,0,3417.548333,6610.496062
Net settlement  for  NSE-Equity with settlement number: 2019095,2019-05-21,NSE-EQ - Z,Book Voucher,0,4913.102991,11523.599053
Net settlement for  BSE-Equity with settlement number: 1920035,2019-05-21,BSE-EQ - Z,Book Voucher,3897.988241,0,7625.610812
DP Charges for 20/05/2019,2019-05-22,NSE-EQ - Z,Journal Entry,15.93,0,7609.680812
DP Charges for 21/05/2019,2019-05-23,NSE-EQ - Z,Journal Entry,15.93,0,7593.750812
Net settlement for  BSE-Equity with settlement number: 1920038,2019-05-24,BSE-EQ - Z,Book Voucher,0,1287.387308,8881.13812
DP Charges for 24/05/2019,2019-05-28,BSE-EQ - Z,Journal Entry,15.93,0,8865.20812
Net settlement  for  NSE-Equity with settlement number: 2019106,2019-06-06,NSE-EQ - Z,Book Voucher,4114.520139,0,4750.687981
Net settlement  for  NSE-Equity with settlement number: 2019107,2019-06-07,NSE-EQ - Z,Book Voucher,587.070019,0,4163.617962
Net settlement  for  NSE-Equity with settlement number: 2019108,2019-06-10,NSE-EQ - Z,Book Voucher,2185.387358,0,1978.230604
Net settlement  for  NSE-Equity with settlement number: 2019109,2019-06-11,NSE-EQ - Z,Book Voucher,290.890696,0,1687.339908
Net settlement  for  NSE-Equity with settlement number: 2019110,2019-06-12,NSE-EQ - Z,Book Voucher,0,4989.52754,6676.867448
Net settlement  for  NSE-Equity with settlement number: 2019111,2019-06-13,NSE-EQ - Z,Book Voucher,4257.334326,0,2419.533122
Net settlement  for  NSE-Equity with settlement number: 2019112,2019-06-14,NSE-EQ - Z,Book Voucher,1875.797942,0,543.73518
DP Charges for 12/06/2019,2019-06-14,NSE-EQ - Z,Journal Entry,15.93,0,527.80518
DP Charges for 12/06/2019,2019-06-14,NSE-EQ - Z,Journal Entry,15.93,0,511.87518
Funds added using NEFT/IMPS/RTGS fromX with reference number 916813644229,2019-06-17,NSE-EQ - Z,Bank Receipts,0,10000,10511.87518
Net settlement  for  NSE-Equity with settlement number: 2019113,2019-06-17,NSE-EQ - Z,Book Voucher,415.753988,0,10096.121192
DP Charges for 17/06/2019,2019-06-19,NSE-EQ - Z,Journal Entry,15.93,0,10080.191192
Net settlement  for  NSE-Equity with settlement number: 2019116,2019-06-20,NSE-EQ - Z,Book Voucher,989.109958,0,9091.081234
Net settlement  for  NSE-Equity with settlement number: 2019117,2019-06-21,NSE-EQ - Z,Book Voucher,493.560829,0,8597.520405
Net settlement  for  NSE-Equity with settlement number: 2019118,2019-06-24,NSE-EQ - Z,Book Voucher,8359.441433,0,238.078972
Net settlement  for  NSE-Equity with settlement number: 2019125,2019-07-03,NSE-EQ - Z,Book Voucher,0,155.488079,393.567051
DP Charges for 03/07/2019,2019-07-05,NSE-EQ - Z,Journal Entry,15.93,0,377.637051
Net settlement  for  NSE-Equity with settlement number: 2019127,2019-07-05,NSE-EQ - Z,Book Voucher,365.898147,0,11.738904
Net settlement  for  NSE-Equity with settlement number: 2019128,2019-07-08,NSE-EQ - Z,Book Voucher,0,189.046243,200.785147
DP Charges for 08/07/2019,2019-07-10,NSE-EQ - Z,Journal Entry,15.93,0,184.855147
Funds added using NEFT/IMPS/RTGS fromX with reference number 920014302518,2019-07-19,NSE-EQ - Z,Bank Receipts,0,5000,5184.855147
Net settlement  for  NSE-Equity with settlement number: 2019137,2019-07-19,NSE-EQ - Z,Book Voucher,3135.873019,0,2048.982128
Net settlement  for  NSE-Equity with settlement number: 2019138,2019-07-22,NSE-EQ - Z,Book Voucher,1828.593253,0,220.388875
Net settlement  for  NSE-Equity with settlement number: 2019140,2019-07-24,NSE-EQ - Z,Book Voucher,113.723096,0,106.665779
Net settlement  for  NSE-Equity with settlement number: 2019145,2019-07-31,NSE-EQ - Z,Book Voucher,88.370578,0,18.295201
Funds added using NEFT/IMPS/RTGS fromX with reference number 924909384505,2019-09-06,NSE-EQ - Z,Bank Receipts,0,5000,5018.295201
Net settlement  for  NSE-Equity with settlement number: 2019169,2019-09-06,NSE-EQ - Z,Book Voucher,1217.932689,0,3800.362512
Net settlement  for  NSE-Equity with settlement number: 2019172,2019-09-12,NSE-EQ - Z,Book Voucher,0,7582.556588,11382.9191
DP Charges for 12/09/2019,2019-09-16,NSE-EQ - Z,Journal Entry,15.93,0,11366.9891
Net settlement  for  NSE-Equity with settlement number: 2019175,2019-09-17,NSE-EQ - Z,Book Voucher,351.046672,0,11015.942428
Net settlement  for  NSE-Equity with settlement number: 2019176,2019-09-18,NSE-EQ - Z,Book Voucher,2097.119928,0,8918.8225
Net settlement  for  NSE-Equity with settlement number: 2019177,2019-09-19,NSE-EQ - Z,Book Voucher,4072.615976,0,4846.206524
Net settlement  for  NSE-Equity with settlement number: 2019178,2019-09-20,NSE-EQ - Z,Book Voucher,2849.39456,0,1996.811964
Net settlement  for  NSE-Equity with settlement number: 2019181,2019-09-25,NSE-EQ - Z,Book Voucher,0,2419.047644,4415.859608
